Titre,Localisation,Nbr_Chambres,Surface_m2,Prix_FCFA,Image
Beau studio meublé à louer à liberté 6,"Liberte 6, Dakar",non précisé,,22500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fbf93d69c0dad7c49729d43df24fd0a5/-/horizon-files-prod/ed/picture/qgqw607q/edb6a77615a55bc90d48765909b7c695ac2bb2e0.jpg
Bel appartement meublé neuf,"Yoff, Dakar",2 chambre,80.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5595e7bb244babe6f20feaf561d80c00/-/horizon-files-prod/ed/picture/qwer2kem/7ee21657e3df9b92da9e7862b3cb47716478ab59.jpg
Appartement f2,"Mamelles, Dakar",1 chambre,175.0,37000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a147d2d032c22a77d7a73368f186c7d7/-/horizon-files-prod/ed/picture/q78jxx2d/0d7b454038419ffa80cdfcd6b46a534f571e0dcf.jpg
F2 cosy quasi neuf meublé à louer à ngor almadies,"Almadies, Dakar",1 chambre,63.0,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/50a220f6c7ec7204456c3949c3bef41e/-/horizon-files-prod/ed/picture/qwernxpj/0a3715da3dbfb59b4e4d5a5467aeea2ea897ed39.jpg
Studio meublè comico ouakam,"Ouakam, Dakar",non précisé,,12500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6404895a582e25751ab701dc9194dcbc/-/horizon-files-prod/ed/picture/qder42nw/d9d4d7a6a27d74a749576a5f2fec0bb0bd7548ec.jpg
Appart 1 chambre accessible et calme-sacré-cœur 3 vdn,"Sacré-Cœur, Dakar",non précisé,,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/30c40357811a3deed8604bede5a2c202/-/horizon-files-prod/ed/picture/qwer246k/c730e8c98423031c56e1b2e673733d89fe6c9367.jpg
Appartement 2 chambres à ngor almadies-rez de chaussée,"Ngor, Dakar",non précisé,,45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4210ccc27a1c5b0125fe57c66afbb8ba/-/horizon-files-prod/ed/picture/qkrg44zw/f2ad00de1ea3e964ce9c56a3228b83819edfb871.png
Magnifique et cosy appartements à 300 m de la mer,"Yoff, Dakar",non précisé,,50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/427da139fc7193c771bb9098ed903f9b/-/horizon-files-prod/ed/picture/qkr8e66m/584b7d73c1e966fc5f98ed8807e5451529f71aaf.jpg
Appartement meublé à mermoz pyrotechnique,"Mermoz, Dakar",non précisé,,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4a801b0298582a0896fb8e5cd27912e3/-/horizon-files-prod/ed/picture/qde90842/12f90dec8eb286594acf12664b0e4fb1bcbdac0a.jpg
Appartement meublé à liberté 6 extension,"Liberte 6 Extension, Dakar",2 chambre,125.0,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/110ba84e22a7685cc05050abaab1bd13/-/horizon-files-prod/ed/picture/qdeewvwg/e6dc813d04a654757b91ef22c6e853a860f98c38.jpg
Studio meublé au rdc + cour au mariste,"Hann Maristes, Dakar",1 chambre,70.0,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e00a1947a20166d5ebba3d5454792ddc/-/horizon-files-prod/ed/picture/qngxnqg0/c48bcd40b15a69d6864346c166fb5e25ea1a05ba.jpg
