Titre,Localisation,Surface_m2,Prix_FCFA,Image
Sci welly – appartements de prestige à louer aux almadies,"Almadies, Dakar",,,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4e9bad86ca0f39109eca653de9068607/-/horizon-files-prod/ed/picture/q2jk777q/8b27a77e401d9d0f2f3f6bd302a32b1da12a1bb4.jpg
3 chambres salon - almadies,"Almadies, Dakar",211.0,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a93a06ad8ab5833f1d2df80e863f2306/-/horizon-files-prod/ed/picture/qv4d952g/b41a852b05e4729a97b5048dcfd7c19170327321.jpg
Très bel appartement neuf avec vue sur mer à yoff virage,"Yoff, Dakar",105.0,950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63281b09dc6a13b33d5040fe1fcb6c4a/-/horizon-files-prod/ed/picture/q56prn45/5c66cb0e0c99b70334b66cf8032fc4a58d288146.jpg
Appartement f3 & f4 a louer,"Mermoz, Dakar",212.0,,https://i.roamcdn.net/hz/ed/listing-thumb-224w/745ed4aba0704897ef796abb4eebcf1f/-eyJvciI6OTB9/horizon-files-prod/ed/picture/q9zwp4n/0c63f56eec2b7eb7d6eebf74c372529bdfedbcef.jpg
Appartements de 3ch salon a kounoune,"Kounoune, Dakar",,150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/46254e249ce7d4b4100d6c45a2f08b9a/-/horizon-files-prod/ed/picture/qq42pmdw/195138f8c8fd1da58eb223990dc6a2629d0d75d3.jpg
Appartements f4 et f5 vers la pointe des almadies,"Almadies, Dakar",350.0,2400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/66699079d52f75c75e846e3f025b4bab/-/horizon-files-prod/ed/picture/qm50v7gw/1b3dee60dfe3017e0fbb7f36a62bb75a9a53ddb8.jpg
F3 neuf visible au mamelle,"Mamelles, Dakar",150.0,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3e34520ca45b66028ff712dd27b3f57d/-/horizon-files-prod/ed/picture/q78jxq7q/77a56e64c364db493cbfa80a77905271610f7dc0.jpg
Appartement f3 à louer cité sir,"Almadies 2, Dakar",100.0,135000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c1a93913a6fdbe4222a3a64fb4bcf398/-/horizon-files-prod/ed/picture/qj46p0q6/1092694dda946355ca34cf1ede09f4f44935d03e.jpg
Joli appartement à louer aux almadies,"Almadies, Dakar",250.0,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/880769f4b8d1a390c64ebe9f3db3e39c/-/horizon-files-prod/ed/picture/qwerm6xk/be0c628f6c1c261e839673f97513e8a302dc4378.jpg
Appartement à louer a fan résidence,"Fann, Dakar",200.0,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e382566a1bbb9d7388e3ef4e5fc067ff/-/horizon-files-prod/ed/picture/q0gwqprx/70a2e0f46e8d5cacb25ec657f1b65d88c8311a05.jpg
Appartement vue sur mer à louer à dakar mermoz,"Mermoz, Dakar",190.0,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d4a071aeba0864774643cfe6ede8ece3/-/horizon-files-prod/ed/picture/q78j8w2g/928c721a2690609bb8b3cdc1fff1c1f143d8d4d5.jpg
Magnifique f4 à louer vue imprenable sur la mer,"Ouakam, Dakar",180.0,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dc9a15ad4e9dee2b3864b756e158c751/-/horizon-files-prod/ed/picture/qv4d9v4m/4d2f34dc68d89fadc4020d87f0d89c6c04175fae.jpg
F4 ouakam corniche à louer vue mer,"Ouakam, Dakar",150.0,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/97188d4fca6d8f6bdca58f7b57e18faf/-/horizon-files-prod/ed/picture/q56pr2gx/1d64612eb7aa3127f34c790cf11400fa481831a5.jpg
Appartements a louer hangars pèlerins,"Virage, Dakar",,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa033fb44c95dafbaa853a1eba76f04d/-/horizon-files-prod/ed/picture/qzv8rw2n/2667fcb983d7850754d099a773b119cc7de07159.jpg
Duplex aux almadies,"Almadies, Dakar",,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/16eac2d8a45ba1e6fa136e83b6c73bd1/-/horizon-files-prod/ed/picture/qenrpzd4/83b9a96dcad4f84e2a4c892af37dbc28e16cf70a.jpg
Appartements neufs de 2 chambres a thies ville,"Thiès, Thiès",,200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/50e409cbdd7208542103986c08cad059/-/horizon-files-prod/ed/picture/q9mj6vqp/6eedcd23c960db48fb8013ea15b700a357dafabf.jpg
Magnifique f3 et f4 à louer à fann hock,"Fann, Dakar",,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ecb6f6083dc7ff9e5ffc1da5225ac61/-/horizon-files-prod/ed/picture/qdekvwd0/36ef0abc56313271ab613be28b3c2e1fc2b841d3.jpg
Magnifique immeuble r+4 à louer,"Sud Foire, Dakar",,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/01968e4e395b0d7069cd0ec4ef9ac232/-/horizon-files-prod/ed/picture/qj464xx5/91084979e709ea50b35c3611f4157ab98f238dc7.jpg
Magnifique appartement de type f3 à louer,"Almadies, Dakar",,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/953af981b9b4f5aa7b2b5ad5b9be7082/-/horizon-files-prod/ed/picture/q445d27m/3e658a2b57221b719fb21dc4ad6e7f1ed0f3d99d.jpg
Magnifique f4 à louer à la corniche des almadies,"Almadies, Dakar",,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd5a52f10547a587e656cf2ada62041e/-/horizon-files-prod/ed/picture/qgqmg970/81ec4f21268568f6df8caf4b9494b80da1af48ac.jpg
Superbe f4 à louer aux almadies,"Almadies, Dakar",,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0ad577be1a141789a7c4bc6dc5176c4d/-/horizon-files-prod/ed/picture/q2j0nzj8/3812389d6cc81dcaef58abbe2d9b8d1cc9c8efc5.jpg
F4 corniche almadies,"Almadies, Dakar",165.0,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99984dc012acc59f17f1b2ed5626bc8c/-/horizon-files-prod/ed/picture/q56ppxje/66671fa4bbcfafb313980cb80a813d6f6e54a68f.jpg
Appartement haut dame sur la corniche,"Fann, Dakar",,1900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5201d93d950cc1e61626c41bc1c73948/-/horizon-files-prod/ed/picture/q78wqq7g/9e9c0c266c64966819d7610d09482084919282b6.jpg
Appart a louer mamelle,"Mamelles, Dakar",160.0,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/abc265c12f45e604218ebc730b93ab57/-/horizon-files-prod/ed/picture/q445r225/c02f0599d1cd2fd92e5b4b834fafce81b2d13092.jpg
Appartement f4 à louer au point e,"Point-E, Dakar",,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e5352adbb93772a77916b84876e4dde/-/horizon-files-prod/ed/picture/q0gk8x0m/5b3f9183e00b6c0918db4bc6135d5dc80a542cd7.jpg
Magnifique appartement de f4 à louer à ngor,"Ngor, Dakar",,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb881170097910a8df67c0510fcb4b98/-/horizon-files-prod/ed/picture/qpdggj90/8e57d5e92b0d7e1a68eaf60115d64a797877abc6.jpg
Appartement magnifique à louer aux mamelles,"Mamelles, Dakar",,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/129b4864d8e8c57b2e5b0b4cc3ea4921/-/horizon-files-prod/ed/picture/q445r2r8/c0542355ac16097abf31736f46a9990e7de9911d.jpg
Duplex type f4 + bureau sur fann résidence,"Fann, Dakar",,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1891b94d8ce1dfbc191e913ccd86129d/-/horizon-files-prod/ed/picture/q78jxdmx/6e38f3bed51a720b6b4fdb07ad58f0f139ec8d4f.jpg
"Appartements en finition à louer à la zone de recasement,","Almadies, Dakar",,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/11e3d303cdc4b406d6679a000c3b304f/-/horizon-files-prod/ed/picture/q6xqr2mn/6de7949b10bbf79d3d11d420f53593a7fe158508.jpg
Appartement t4 à louer aux almadies,"Almadies, Dakar",,1100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d91c2d7048bc61a858d6b6d81edf70ce/-/horizon-files-prod/ed/picture/q2jkz98e/62779a1d7b071b73044b30f9c20b3a960d4db8c1.jpg
Appartement f5 – almadies (derrière free mobile),"Almadies, Dakar",,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e01cf37177d4543f9cb93e1a7cb7c9e9/-/horizon-files-prod/ed/picture/q56przd5/9aa8a11391dfc1bd54a1a8134f0fe12baeb55091.jpg
