Titre,Localisation,Surface_m2,Prix_FCFA,Image
Bel appartement à vendre maristes,"Hann Maristes, Dakar",150.0,75000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c77098468052412f18d2cddb92a8ffb/-/horizon-files-prod/ed/picture/q6xqk066/0bbb94ce25e5b716c6f77f08e4668e2f995c208f.jpg
Appartement f3 à vendre,"Almadies, Dakar",105.0,110000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c72e353b319f10f23879c91ebe58cbf/-/horizon-files-prod/ed/picture/q8vmp8q9/1b5bebcaa943c6b8ede87642191bf80b45e7fb8f.jpg
Appartement à vendre horizon building aux almadies,"Almadies, Dakar",175.0,160000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f923417bb74e8e32817bfd9e1be00987/-/horizon-files-prod/ed/picture/q56d5r9n/869ac5a96464da2209070adae228a26bfd149f52.jpg
Magnifique appartement de type f3 à vendre,"Liberte 6 Extension, Dakar",135.0,72000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d3887fa1da3a4e29a19a54813cdb717c/-/horizon-files-prod/ed/picture/qrzr206g/0134d9316708836c2d06e184e910caf1bcd9ac9c.jpg
Appartement f2 a vendre au point e en face piscine olympique,"Point-E, Dakar",53.0,64990000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/099e11589e6ad0049a8c6983882217cd/-/horizon-files-prod/ed/picture/qngp8mm0/ef26fb4fd5d1a25c256e6317837519fd402bf6fe.jpg
Ref _9056_ gl à vendre – f4 (droite) – liberté 6,"Liberte 6, Dakar",198.0,168300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dad1961b0cbbff25e7faefadf2a05f49/-/horizon-files-prod/ed/picture/qq4z2kr7/95eb5dae36ce7876489e424ef73018b795c82966.jpg
F3 de 123m² au virage dans résidence avec piscine,"Virage, Dakar",123.0,108990000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f9690ca8ab18ef72fcf3293515541087/-/horizon-files-prod/ed/picture/qngpzq4x/521888753fa74e95ba48d3fc4781b0eb03a4f612.jpg
F4 de 170m² à vendre au point e,"Point-E, Dakar",170.0,190000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/06a7ed4548e11c109abe32543ad25b33/-/horizon-files-prod/ed/picture/q2j08kn8/13206e907a9a58585dbff672f315bc83914c5946.jpg
Apparemment a vendre,"Almadies, Dakar",,165000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb05f47c3b6afa7bb7f79ea049b961a6/-/horizon-files-prod/ed/picture/qpdgw5g0/2d62f3bd25ffcc40f6929cf1e943fb27ade1ac2e.jpg
Appartement f3 à vendre dakar,"Patte D‘Oie, Dakar",100.0,25000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b8f913f53f735a2c8e2fc402a035342e/-/horizon-files-prod/ed/picture/qxjjz2nj/0ee5bf97c5f3b034ff9716caef658dc2dc143581.jpg
Appartement haut standing vue mer à vendre au virage,"Virage, Dakar",146.0,189000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3dff34ecc552d6a37b504381afbe31fc/-/horizon-files-prod/ed/picture/qrzve0p9/29074579de434638f8d51ec57785956c2538a208.jpg
Studio à vendre aux almadies,"Almadies, Dakar",63.0,60000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/25d72a489d314bcd672099fe5fa00f02/-/horizon-files-prod/ed/picture/qrzvxzmx/8310addc4897b63faaaac209efa819d930893619.jpg
